"ID";"Active (0/1)";"Name *";"Parent category";"Catégorie racine (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten"
"23";"1";"Rendez-vous à Paris";"22";"0";"<p><strong>I love Paris !</strong> Inspirées des codes fashion de la capitale, nos <strong>bougies parfumées</strong> s’habillent d’un trait de crayon qui pétille. Un<strong> coffret girly</strong>, des <strong>fragrances taquines</strong>, <strong>fusantes</strong> ou tout en <strong>gourmandises</strong>… Les « Miss » vous donnent Rendez-vous dans les plus beaux quartiers de Paris !</p>
<p><a href=""/content/42-rendezvousaparis"">Découvir l'ambiance</a></p>";"Rendez-vous à Paris, bougies parfumées fashion";"Rendez-vous à Paris, bougies parfumées fashion";"Bougies la Française vous propose un Rendez-vous olfactif en plein cœur de Paris. Fashion, et originales, nos bougies parfumées seront le cadeau idéal des beautystas.";"rendez-vous-a-paris"
"24";"1";"Signature";"3";"0";"<p>En s’inspirant des <strong>origines du métier de cirier</strong> perpétué par cinq générations, en s’appuyant sur le savoir-faire d’une manufacture reconnue, Bougies la Française fait revivre des produits de traditions… <strong>Cierges, bougies « trouées » et petits accessoires</strong> illustrent tout un héritage… De vrais <strong>trésors oubliés</strong>.</p>
<p><a href=""/content/53-signature"">Découvrir l'ambiance</a></p>";"Signature, bougies et accessoires rétro";"Signature, bougies et accessoires rétro,bougie déco,bougie artisanale,bougie originale";"Cierges, bougies d’antan et accessoires rétro… Bougies la Française s’attache à ses valeurs pour dévoiler l’héritage de trésors oubliés.";"signature"
"25";"1";"La ciergerie";"24";"0";"<p>Bougies la Française s’inspire des boîtes de bougies du siècle dernier, pour relancer <strong>un produit unique et exclusif : la bougie trouée !</strong> Une collection authentique, au style rétro-vintage emblématique de la marque. Parsemez votre intérieur de quelques <strong>cierges traditionnels, bougies et accessoires</strong>, et retrouvez les charmes d’antan.</p>
<p><a href=""/content/49-ciergerie"">Découvrir l'ambiance</a></p>";"La ciergerie, bougies et accessoires d’antan";"La ciergerie, bougies et accessoires d’antan";"Pour les adeptes de la décoration rétro, Bougies la Française s’inspire des cierges, bougies et accessoires d’antan et vous propose une collection au style vintage.";"la-ciergerie"
"26";"1";"Art et matière";"24";"0";"<p>C’est un art de jouer avec les matières, <strong>Bougies la française</strong> en a fait une part de son identité… Envie d’authenticité, laissez s’exprimer ces <strong>bougies décoratives</strong> au caractère bien trempé… Des matières brutes, des finitions aux reflets de la patine du temps…</p>";"Bougies parfumées et décoratives. Art et matière, une collection de bougies authentiques ";"bougie déco,bougie originale,bougie artisanale";"C’est un art de jouer avec les matières, Bougies la française en a fait son identité. Envie d’authenticité, laissez s’exprimer ces bougies décoratives de caractère !";"art-et-matiere"
"27";"1";"Colorama";"3";"0";"<p><strong>I love colors</strong>… Bienvenue dans le grand Colorama. Une palette chromatique élégante, ou fun, girly, flashy ! Dans une symphonie « <strong>pep’s and pop</strong> », intense et très actuelle, nos <strong>bougies décoratives</strong> se jouent sur tous les tons et réveillent toute la maison.</p>
<p><a href=""/content/38-couleurs"">Découvrir l'ambiance</a></p>";"Colorama, bougies décoratives";"Colorama, bougies décoratives";"Une tonalité pastel ou vibrante, une bougie blanche, rose ou bleue. Dans une symphonie de couleurs pop, retrouvez toutes les bougies décoratives, Bougies la Française.";"colorama"
"28";"1";"Bougies décoratives";"27";"0";"<p>Un design unique… Signé Bougies la Française ! Aux formes originales, nos <strong>bougies figuratives</strong> deviennent de véritables <strong>accessoires déco</strong>. Saupoudrées de couleur et d’une pointe d’humour, un tantinet décalées, nos <strong>bougies décoratives</strong> sèmeront une dose de bonne humeur dans tout votre intérieur !</p>
<p><a href=""/content/48-bougiesdeco"">Découvrir l'ambiance</a></p>";"Bougies décoratives - collection Colorama";"Fantaisies, bougies décoratives,bougie déco,bougies artisanales ";"Découvrez toutes nos bougies décoratives, Bougies la Française. Au design unique, nos bougies originales deviennent de véritables atouts pour votre décoration.";"bougies-deco"
"29";"1";"Parfum et fantaisie";"27";"0";"<p>Avec son graphisme élégant et tendance, associant les mosaïques et le réalisme des illustrations, la collection de <strong>bougies parfumées</strong> et <strong>parfums d’ambiance</strong> « Parfum et fantaisie » vous emmène dans un univers olfactif chic et poétique. Une découverte sensorielle de fragrances très nature, autour des fleurs, des fruits, d’un monde végétal sublimé. Des plaisirs quotidiens à offrir ou à s’offrir !</p>";"Parfum et fantaisie";"Parfums et fantaisies";"Bougies parfumées et parfums d’ambiance Parfums et fantaisie - Découvrez notre sélection de bougies parfumées, de diffuseur de parfums Parfum et fantaisie";"parfum-et-fantaisie"
"30";"1";"Table et ambiance";"27";"0";"<p>De votre table de salle à manger à votre console de salon, les bougies s’immiscent dans votre déco… <strong>Flambeaux</strong> ou <strong>classiques</strong>, <strong>rondes</strong> ou <strong>cylindriques</strong>, nos <strong>bougies déco</strong> habillent votre intérieur en journée et tamisent vos plus belles soirées. Vous êtes plutôt couleurs pop ou préférez les teintes neutres ? Découvrez toutes nos <strong>bougies de table et d’ambiance</strong> !</p>
<p><a href=""/content/54-tableetambiance"">Découvrir l'ambiance</a></p>";"Bougies de table et ambiance";"Bougies de table et ambiance,bougies artisanales,bougies colorées,bougies cylindriques,bougie rondes,bougies classiques,bougies déco";"Les bougies de table s’immiscent dans votre déco. Flambeaux ou classiques, rondes ou cylindriques, nos bougies déco tamisent vos soirées. Découvrez toutes nos bougies de table et d’ambiance !";"table-et-ambiance"
"31";"1";"Cadeaux";"4";"0";"<p>Pour un diner chez des amis, son anniversaire ou simplement pour lui dire « je t’aime »… Découvrez notre sélection de <strong>cadeaux parfumés</strong>. Pour elle, pour lui ou pour eux. Choisissez parmi nos plus beaux coffrets de <strong>bougies parfumées</strong> et <strong>senteurs</strong>… Il y a bien une fragrance qui envoûtera l'élu !</p>";"Bougies, diffuseurs, cadeaux parfumés";"Bougies, diffuseurs, cadeaux parfumés";"Découvrez notre sélection de bougies d’anniversaire et cadeaux parfumés. Pour elle, pour lui, pour eux… Nos bougies parfumées sont le cadeau idéal pour toutes les occasions spéciales !";"cadeaux"
"32";"1";"Cadeaux pour elle";"31";"0";"<p>Parce qu’un parfum révèle une personnalité, la <strong>bougie parfumée</strong> devient l’idée cadeau idéale à offrir à vote dulcinée… Et pourquoi pas à votre maman ? Offrez-lui un <strong>bouquet floral</strong>, un <strong>clin d'oeil gourmand</strong> ou une <strong>bougie glamour</strong>. Optez pour la senteur qui charmera ses sens !</p>";"Cadeaux pour elle, bougies, diffuseurs";"Cadeaux pour elle, bougies, diffuseurs";"Vous recherchez le cadeau idéal ? Offrez-lui une bougie parfumée. Senteur florale, gourmande ou  ultra tendance, découvrez nos parfums qui envoûteront vos proches.";"cadeaux-pour-elle"
"33";"1";"Cadeaux pour lui";"31";"0";"<p>Il est moderne et sophistiqué ? Un brin dandy ou plutôt aventurier ? Surprenez- le et éveillez ses sens en lui offrant un <strong>cadeau parfumé</strong>. Personnelle et originale, choisissez la <strong>bougie parfumée</strong> qui le fera craquer !</p>";"Idée cadeau, bougie parfumée, bougie déco";"Idée cadeau, bougie parfumée, bougie déco";"Vous recherchez le cadeau idéal pour son anniversaire ou toute autre occasion particulière ? Faites-le craquer avec une bougie parfumée, signée Bougies la Française.";"cadeaux-pour-lui"
"34";"1";"Occasions spéciales";"4";"0";"<p>Vous souhaitez célébrer votre anniversaire ou habiller votre table de fête ? Découvrez toute notre sélection de <strong>bougies d’anniversaires</strong> et de <strong>bougies décoratives</strong>… Pour que chaque occasion soit tout simplement, un moment d’exception.</p>";"Bougies d’anniversaires, bougies de fête";"Bougies d’anniversaires, bougies de fête";"Bougies la Française vous propose de découvrir toute sa collection de bougies décoratives de fête et bougies d’anniversaire… Pour une décoration de fête !";"occasions-speciales"
"35";"1";"Bougies d'anniversaire";"34";"0";"<p>Que serait une fête d’anniversaire sans bougies ? En <strong>camaïeux de couleurs</strong> bleues pour les garçons, romantiques pour les filles, ou fraîches et acidulées… Nos <strong>bougies d’anniversaires</strong> sublimeront votre gâteau. Il ne vous reste plus qu’à choisir le thème de votre fête. N’oubliez pas de faire un vœu avant de souffler vos <strong>petites bougies</strong> !</p>";"Bougies anniversaire";"Bougies anniversaire";"Des bougies romantiques, fraîches ou acidulées pour décorer votre gâteau… Découvrez notre sélection de bougies d’anniversaires sur bougies-la-francaise.com.";"anniversaire"
"36";"1";"Bougies de fêtes";"34";"0";"<p>Dressez un décor de fêtes avec Bougies la Française ! Pour célébrer votre mariage ou votre soirée de réveillon, nos <strong>bougies décoratives</strong> feront scintiller votre décoration. Découvrez toutes notre sélection de <strong>bougies de fêtes</strong> et trouvez votre inspiration déco… Pour faire de chaque événement, des instants d’exception.</p>";"Bougies de fêtes, flambeaux, chandelles";"Bougies de fêtes, flambeaux, chandelles";"Bougies la Française vous propose de découvrir toute sa collection de bougies décoratives de fête, bougies flambeaux, chandelles… Pour des instants inoubliables !";"bougies-de-fete"
"37";"1";"Tradition";"4";"0";"<p>En s’inspirant des <strong>origines du métier de cirier</strong> perpétué par cinq générations, en s’appuyant sur le savoir-faire d’une manufacture reconnue, Bougies la Française fait revivre des produits de traditions… <strong>Cierges et bougies « trouées »</strong> illustrent tout un héritage… De vrais <strong>trésors oubliés</strong>.</p>";"Bougie décoratives de tradition - Bougies la Française";"bougie tradition,bougie artisanale,bougie décorative";"Bougies la Française fait revivre des produits de traditions avec l'ensemble de ses bougies décoratives. ";"tradition"
"38";"1";"Bougies trouées";"37";"0";"<p>Découvrez une <strong>bougie de tradition</strong>, issue du passé glorieux de Bougies la Française, médaillées lors des expositions de 1924... Rares sont les <strong>produits plus que centenaire</strong>, ayant traversés des décennies, tout en gardant la reconnaissance de leurs spécificités et de leurs <strong>exceptionnelles qualités</strong>...</p>";"Bougies trouées de tradition";"bougie trouée,bougie artisanale,bougie de tradition,bougie vintage,bougie blanche";"Découvrez une bougie de tradition, issue du passé glorieux de Bougies la Française, médaillées lors des expositions de 1924...";"bougies-trouees"
"39";"1";"Bien-être";"4";"0";"<p>Nos <strong>bougies naturelles et parfums d’ambiance</strong> sont conçues avec cette volonté d'<strong>éco-responsabilité</strong>. Dans une conception sans artifice, et enrichie en <strong>huiles essentielles</strong>, notre gamme se nourrit des bienfaits de La Nature pour vous procurer une atmosphère de <strong>sérénité</strong>, source de <strong>bien-être</strong>.</p>";"Bougies et parfums d’ambiance bien-être";"Bougies et parfums d’ambiance bien-être";"Une conception toujours plus proche de la Nature. Bougies la Française vous invité à découvrir : bougies parfumées, bouquets parfumés et sprays d’intérieur naturels.";"bien-etre"
"40";"1";"Gamme La Nature";"39";"0";"<p>Les <strong>bougies parfumées</strong>, <strong>diffuseurs</strong> et <strong>vaporisateurs d’intérieur</strong> de notre collection « La Nature » s’inspire des bienfaits « Organiques »... De <strong>conception naturelle</strong> à base de cire végétale, ou alcool BIO, nos <strong>parfums d’ambiance</strong> vous procurent un incroyable éveil des sens… Un retour à l’essentiel, source de <br />bien-être.</p>";"Bougies et parfums d’ambiance naturels";"Bougies et parfums d’ambiance naturels";"Bougies la Française vous propose une collection de parfums d’ambiance naturels enrichie en huiles essentielles : bougies végétales, bouquets parfumés et sprays d’intérieur.";"gamme-la-nature"
"41";"1";"Bougies parfumées";"5";"0";"<p>Elaborées en collaboration avec les plus grands spécialistes du parfum, nos <strong>bougies parfumées</strong> vous proposent un véritable voyage à travers les sens. Des <strong>senteurs florales</strong> aux <strong>fragrances boisées</strong>, nos <strong>bougies parfumées</strong> libèrent vos émotions. De la Quintessence des matières, à l’élégance des accords, découvrez toute notre collection de <strong>bougies parfumées</strong>...</p>";"Bougies parfumées, fabriquées en France";"Bougies parfumées, fabriquées en France";"Des senteurs florales aux fragrances boisées, nos bougies parfumées libèrent vos émotions. Découvrez toute notre collection de bougies parfumées, et créez un univers olfactif qui vous ressemble !";"bougies-parfumees"
"42";"1";"Bougies gourmandes";"41";"0";"<p>Au parfum irrésistible, <strong>addictif</strong>, nos <strong>bougies gourmandes</strong> vous font vivre de purs moments de caprices. Craquez pour les délicieuses senteurs de vanille, chocolat, caramel, biscuit, macaron ou bonbon… Régalez-vous, nos <strong>bougies parfumées</strong> se dégustent à tout moment de la journée… Et ce n'est pas un péché !</p>";"Bougies parfumées senteur gourmande";"Bougies parfumées senteur gourmande";"Bougie senteur vanille, chocolat, caramel, biscuit ou macaron. Craquez pour le parfum irrésistible de nos bougies parfumées gourmandes, Bougies la Française.";"bougies-gourmandes"
"43";"1";"Bougies florales";"41";"0";"<p>Un <strong>hymne aux reines des fleurs</strong> en version soliflore, ou en bouquet florale… Aériennes, délicates, fraîches, orientales, sensuelles ou poudrées, nos <strong>bougies florales</strong> libèrent des fragrances terriblement féminines. Entre les senteurs de rose,  de lys, de lavande, de pivoine ou de fleurs d’oranger, nos <strong>bougies parfumées</strong> vous invitent dans une mélodie florale au cœur des pétales…</p>";"Bougies parfumées senteur florale";"Bougies parfumées senteur florale";"Bougie senteur rose, lys ou pivoine… Un parfum floral s’installe. Découvrez toutes nos senteurs féminines avec les bougies parfumées florales, Bougies la Française.";"bougies-florales"
"44";"1";"Bougies boisées";"41";"0";"<p>Premières effluves sacrées, brulées pour les divinités... Qu’elles soient de cèdre, de santal ou de bois de Teck, nos <strong>bougies boisées</strong> subliment leurs accords d'essences nobles et précieuses. De ces <strong>senteurs intenses</strong>, mêlées aux <strong>facettes aromatiques et hespéridées</strong>, nos <strong>bougies parfumées</strong>, laissent planer une atmosphère empreinte de force et d’élégance.</p>";"Bougies parfumées senteur boisée";"Bougies parfumées senteur boisée";"Une bougie senteur patchouli, cèdre ou santal pour une ambiance élégante. Découvrez toute l’intensité des bougies parfumées boisées, Bougies la Française.";"bougies-boisees"
"45";"1";"Bougies orientales";"41";"0";"<p>« Crépuscule du soir mystique »... Drapées de reflets d'ambre, nos <strong>bougies Orientales</strong> vous plongent dans un voyage olfactif à travers les contes des mille et une nuits... Posée sur un fond de résines et de baumes, de bois précieux, de musc et de vanille, la fragrance de nos <strong>bougies parfumées</strong> s’enrichit de <strong>mystère</strong> et de <strong>volupté</strong>.</p>";"Bougies parfumées senteur orientale";"Bougies parfumées senteur orientale";"Une senteur subtilement ambrée, boisée et vanillée pour une ambiance de volupté. bougies-la-francaise.com vous propose une sélection de bougies parfumées orientales.";"bougies-orientales"
"46";"1";"Bougies régressives";"41";"0";"<p>Et si l’une de nos <strong>bougies parfumées</strong> était votre petite madeleine ? Dotées des <strong>senteurs emblématiques</strong> de votre enfance, nos <strong>bougies régressives</strong> remontent dans votre mémoire olfactive pour réveiller un souvenir égaré. A travers les parfums de bonbon, savon ou colle, trouvez la bougie qui vous ressemble !</p>";"Bougies parfumées senteur régressive";"Bougies parfumées senteur régressive";"Une bougie originale aux senteurs traditionnelles ou gourmandes. Nos bougies parfumées régressives remontent dans votre passé en dévoilant un doux parfum d’antan.";"bougies-regressives"
"47";"1";"Bougies fruitées";"41";"0";"<p>Des <strong>bougies fruitées</strong>… A croquer ! Avec nos <strong>bougies figue,</strong> <strong>mûre</strong>, <strong>fruits rouges</strong> ou <strong>rhubarbe</strong>, profitez de vos fruits préférés tout au long de l’année. Sucrées, juteuses, fraîches ou acidulées… Et terriblement gourmandes, nos <strong>bougies parfumées</strong> diffuseront de belles notes de gaieté.</p>";"Bougies parfumées senteur fruitée";"Bougies parfumées senteur fruitée";"Vous recherchez une bougie senteur figue, mûre, fruits rouges ou rhubarbe ? Découvrez toutes nos bougies parfumées fruitées sur bougies-la-francaise.com.";"bougies-fruitees"
"48";"1";"Bougies hespéridées";"41";"0";"<p>Profitez d’un cocktail vitaminé avec nos <strong>bougies hespéridées</strong> ! Bergamote, citron, orange et mandarine s’unissent dans <strong>un accord solaire et pétillant</strong>. Parsemées de zestes d’agrumes, les <strong>senteurs hespéridées</strong> de nos bougies sèmeront de belles notes de <strong>fraîcheur</strong> dans votre intérieur.</p>";"Bougies parfumées senteur hespéridée";"Bougies parfumées senteur hespéridée";"Bougies la Française vous propose une sélection de bougies parfumées hespéridées haut de gamme. Orange, citron ou bergamote ? Les agrumes parfument votre intérieur.";"bougies-hesperidees"
"49";"1";"Bougies épicées";"41";"0";"<p><strong>Sur la route des épices</strong>, poivre, clous de girofle, cardamome et cannelle ont été sélectionnés avec soin et agrémentent nos plus belles fragrances. Dans un <strong>jeu de contrastes et de relief</strong>, nos <strong>bougies épicées</strong> se parent de facettes olfactives uniques pour vous offrir un <strong>parfum de caractère</strong>.</p>";"Bougies parfumées senteur épicée";"Bougies parfumées senteur épicée";"Nos bougies parfumées épicées s’agrémentent de poivre, clous de girofles et cannelle. Découvrez tous nos parfums de caractère signés Bougies la Française.";"bougies-epicees"
"50";"1";"Diffuseurs parfumés";"5";"0";"<p>Pratiques et décoratifs, longue durée, nos <strong>diffuseurs de parfum</strong> agrémentent votre habitat d’une ambiance unique. <strong>Classiques</strong>,<strong> féminins </strong>ou<strong> naturels</strong>, nos <strong>diffuseurs d’intérieur</strong> s’adaptent à la déco de votre maison. Découvrez tous nos <strong>parfums d’ambiance</strong> pour une expérience olfactive qui vous ressemble !</p>";"Diffuseurs de parfum d’ambiance";"diffuseur de parfum,diffuseur d'ambiance,parfum d'ambiance,parfum d'intérieur,diffuseur d'intérieur";"Découvrez toute notre gamme de diffuseurs de parfum. Pratiques et décoratifs, nos diffuseurs d’intérieur subliment votre habitat d’une ambiance qui vous ressemble !";"diffuseurs-parfumes"
"51";"1";"Diffuseurs fruités";"50";"0";"<p>Quelques subtils effluves de figue, mûre, fruits rouges ou rhubarbe, pour succomber aux succulences de cette sélection de <strong>diffuseurs d'ambiance</strong>... En une partition de <strong>gammes sucrées</strong>, <strong>fraîches</strong> ou <strong>acidulées</strong>, nos <strong>diffuseurs parfumés</strong> distilleront vos fragrances favorites, fruit de votre passion...</p>";"Diffuseurs de parfum fruités et gourmands";"diffuseur de parfum,diffuseur fruité,diffuseur d'ambiance,diffuseur d'intérieur,parfum d'ambiance,parfum d'intérieur,parfum fruité";"Découvrez tous nos diffuseurs de parfum fruités et gourmands. Senteur vanille, figue ou rhubarbe, nos parfums d’ambiance vous plongeront dans un univers de délices.";"diffuseurs-fruites"
